date,site_time,master_time,site_title,master_title,similarity
2026-02-27,20:00,20:00,Light &amp; Shade – FREE Show &#8211; Feb 27,Light & Shade – FREE Show,0.86
2026-02-27,00:00,,Edward Albee&#8217;s Who&#8217;s Afraid of Virginia Woolf? &#8211; Feb 27 &#8211; Mar 15,Edward Albee's Who's Afraid of Virginia Woolf?,0.86
2026-02-27,22:00,10:00 PM,TRAFFIC LIGHT PARTY &#8211; Feb 27,TRAFFIC LIGHT PARTY,0.84
2026-02-26,20:30,8:30 PM,Mike Trask Band &#8211; Feb 26,Mike Trask Band,0.81
2026-03-01,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 01,The Legendary Blues Jam,0.87
2026-03-05,18:30,6:30 PM,DJ Ahmet — Carbon Arc &#8211; Mar 05-14,DJ Ahmet — Carbon Arc,0.81
2026-03-05,20:00,8:00 pm,Braden Lam &amp; School House &#8211; Mar 05,Braden Lam & School House,0.87
2026-03-05,20:30,8:30 PM,Morgan Davis Trio &#8211; Mar 05,Morgan Davis Trio,0.83
2026-02-28,19:00,07:00 PM,SBSS  POP UP &#8211; DISC 4: ROOTS,Sunset Beats Pop-Up - Disc 4: Roots,0.80
2026-02-28,22:00,22:00,DJ WILL.C – FREE Show &#8211; Feb 28,DJ WILL.C – FREE Show,0.84
2026-02-28,22:00,10:00 pm,ALL NIGHT LONG: CENTURYSAMUEL &#8211; Feb 28,ALL NIGHT LONG: CENTURYSAMUEL,0.89
2026-03-02,19:00,7:00 PM,HALI MERENGAY &#8211; QUEER LATIN DANCE &#8211; Mar 02,HALI MERENGAY - QUEER LATIN DANCE,0.90
2026-03-04,10:00,10:00,Welcome Wednesdays &#8211; Mar 04,Welcome Wednesdays,0.84
2026-03-04,22:00,10:00 PM,Karaoke with Mimi! &#8211; Mar 04,Karaoke with Mimi!,0.83
2026-03-12,20:30,8:30 PM,Rabbit Town String Band &#8211; Mar 12,Rabbit Town String Band,0.87
2026-03-16,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 16,Monday Night Trivia,0.84
2026-03-19,20:30,8:30 PM,The MacMillan&#8217;s Camp Boys &#8211; Mar 19,The MacMillan's Camp Boys,0.87
2026-03-23,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 23,Monday Night Trivia,0.84
2026-03-23,19:30,7:30 PM,&#x1f495; Mini Dates | ~ 45-60 &#8211; Mar 23,💕 Mini Dates | ~ 45-60,0.81
2026-03-30,19:00,7:00 PM,Monday Night Trivia &#8211; Mar 30,Monday Night Trivia,0.84
2026-04-01,18:00,6:00 PM,&#x1f4d6; Silent Reading &#8211; Apr 01,📖 Silent Reading,0.80
2026-03-06,20:00,8:00 pm,Hedwig and the Angry Inch &#8211; Mar 06,Hedwig and the Angry Inch,0.88
2026-03-06,22:00,10:00 pm,One Night In Ghana &#8211; Mar 06,One Night In Ghana,0.84
2026-03-06,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-03-07,18:00,6:00 PM,Aisha&#8217;s Story — Carbon Arc &#8211; Mar 07,Aisha's Story — Carbon Arc,0.87
2026-03-07,20:00,8:00 pm,Hedwig and the Angry Inch &#8211; Mar 07,Hedwig and the Angry Inch,0.88
2026-03-07,21:30,9:30 PM,The Wicked Deadlys &#8211; Mar 07,The Wicked Deadlys,0.84
2026-03-08,17:30,5:30 PM,"Montréal, ma belle — Carbon Arc &#8211; Mar 08","Montréal, ma belle — Carbon Arc",0.89
2026-03-08,15:00,03:00 PM,Queer Improv Drop-In (March 8) &#8211; Mar 08,Queer Improv Drop-In (March 8),0.89
2026-03-08,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 08,The Legendary Blues Jam,0.87
2026-03-13,18:30,6:30 PM,Yunan — Carbon Arc &#8211; Mar 13,Yunan — Carbon Arc,0.82
2026-03-13,23:00,11:00 pm,HEATED RIVALRAVE &#8211; Mar 13,HEATED RIVALRAVE,0.82
2026-03-14,21:30,9:30 PM,The Blue Devils &#8211; Mar 14,The Blue Devils,0.81
2026-03-14,16:00,4:00 PM,&#x1f9d8;&#x200d;&#x2640;&#xfe0f;&#x1f9d8;&#x200d;&#x2642;&#xfe0f; Yoga Class | ~ 30-45 | Sold Out &#8211; Mar 14,🧘‍♀️🧘‍♂️ Yoga Class | ~ 30-45 | Sold Out,0.81
2026-03-15,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 15,The Legendary Blues Jam,0.87
2026-03-15,15:00,3:00 PM,Country Cribbage with Sunrise &#8211; Mar 15,Country Cribbage with Sunrise,0.89
2026-03-15,16:00,4:00 PM,&#x1f9d8;&#x200d;&#x2640;&#xfe0f;&#x1f9d8;&#x200d;&#x2642;&#xfe0f; Yoga Class | ~ 40-55 | Sold Out &#8211; Mar 15,🧘‍♀️🧘‍♂️ Yoga Class | ~ 40-55 | Sold Out,0.81
2026-03-15,18:30,6:30 PM,Oscars Watch Party &#8211; Mar 15-16,Oscars Watch Party,0.80
2026-03-20,20:00,20:00,Cameron Nickerson Album Release + Taylor Jensen,Cameron Nickerson & The 340 South Album Release + Taylor Jensen,0.87
2026-03-20,21:30,9:30 PM,Big Country Ramblers &#8211; Mar 20,Big Country Ramblers,0.85
2026-03-20,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-03-21,13:00,13:00,Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Saturday &#8211; Mar 21,Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Saturday,0.87
2026-03-21,21:30,9:30 PM,Joe Murphy CD Release &#8211; Mar 21,Joe Murphy CD Release,0.86
2026-03-21,16:30,4:30 PM,Brian Bourne Trio &#8211; Mar 21,Brian Bourne Trio,0.83
2026-03-22,13:00,13:00,Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Sunday &#8211; Mar 22,Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Sunday,0.89
2026-03-22,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 22,The Legendary Blues Jam,0.87
2026-03-27,20:00,20:00,Floodland Plays The Beatles &#8211; Mar 27,Floodland Plays The Beatles,0.89
2026-03-27,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-03-28,13:30,13:30,A Tribute To John Prine &#8211; Mar 28,SOLD OUT: A Tribute To John Prine – Saturday matinee,0.84
2026-03-28,21:30,9:30 PM,The Six Star Revue &#8211; Mar 28,The Six Star Revue,0.84
2026-03-29,20:00,8:00 PM,The Legendary Blues Jam &#8211; Mar 29,The Legendary Blues Jam,0.87
2026-03-29,18:00,6:00 PM,&#x1f9d8;&#x200d;&#x2640;&#xfe0f;&#x1f9d8;&#x200d;&#x2642;&#xfe0f; Yoga Class | ~ 20-25 | Sold Out &#8211; Mar 29,🧘‍♀️🧘‍♂️ Yoga Class | ~ 20-25 | Sold Out,0.81
2026-04-02,19:30,19:30,SOLD OUT: Charlie A’Court &#8211; Apr 02,SOLD OUT: Charlie A’Court,0.80
2026-04-02,20:30,8:30 PM,Morgan Davis Trio &#8211; Apr 02,Morgan Davis Trio,0.83
2026-04-03,21:30,9:30 PM,Only Good Company  &amp; Lizard Hips &#8211; Apr 03,Only Good Company  & Lizard Hips,0.89
2026-04-03,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-04-10,21:30,9:30 PM,Shrimp Daddy &amp; The Sharpshooters &#8211; Apr 10,Shrimp Daddy & The Sharpshooters,0.90
2026-04-10,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-04-11,20:00,20:00,Maximum Overdrive &#8211; Apr 11,SOLD OUT: Maximum Overdrive,0.83
2026-04-16,19:30,19:30,Jamie Fontaine &#8211; Apr 16,Jamie Fontaine,0.80
2026-04-17,22:00,10:00 pm,KRANIUM – HALIFAX *LIVE IN CONCERT* &#8211; Apr 17,KRANIUM – HALIFAX *LIVE IN CONCERT*,0.90
2026-04-17,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-04-18,19:00,19:00,Pours For Paws &#8211; Apr 18,Pours For Paws,0.80
2026-04-18,21:30,9:30 PM,J.A.G. with John B Main &#8211; Apr 18,J.A.G. with John B Main,0.85
2026-04-18,21:30,9:30 PM,Mat Hughes &amp; Mat Elliot &#8211; Apr 18,Mat Hughes & Mat Elliot,0.86
2026-04-23,20:00,8:00 PM,Cameron Hawes Band &#8211; Apr 23,Cameron Hawes Band,0.84
2026-04-24,17:30,5:30 PM,Big Easy Fridays &#8211; Sounds of New Orleans with Mike Cowie &amp; John Alphonse,Big Easy Fridays with Mike Cowie & John Alphonse,0.81
2026-04-25,21:30,9:30 PM,Blake Johnston &#8211; Apr 25,Blake Johnston,0.80
2026-05-01,20:00,20:00,Ivytide w/ Jenny &amp; The Tide &#8211; May 01,Ivytide w/ Jenny & The Tide,0.87
2026-05-02,20:00,20:00,Campbell &amp; Johnston &#8211; May 02,Campbell & Johnston,0.83
2026-05-03,13:00,13:00,Razzmatazz For Kids &#8211; May 03,Razzmatazz For Kids,0.84
2026-05-03,19:00,07:00 PM,Comedy Misfits Woodstock &#8211; May 03,Comedy Misfits Woodstock,0.87
2026-05-09,19:00,07:00 PM,Comedy Misfits Bridgewater &#8211; May 09,Comedy Misfits Bridgewater,0.88
2026-05-17,19:00,19:00,Leeroy Stagger + Dennis Ellsworth &#8211; May 17,Leeroy Stagger + Dennis Ellsworth,0.90
2026-05-21,19:30,19:30,Gina Burgess (Full Band Show) &#8211; May 21,Gina Burgess (Full Band Show),0.89
2026-05-27,19:00,19:00,The Coldplay Experience &#8211; May 27,The Coldplay Experience,0.87
2026-06-04,19:30,19:30,Acres and Acres W/ Karol Brown &#8211; Jun 04,Acres and Acres W/ Karol Brown,0.89
2026-06-09,19:00,19:00,John Allaire + Darrel Cameron &#8211; Jun 09,John Allaire + Darrel Cameron,0.89
2026-03-17,19:00,7:00 PM,&#x1f483; Dance Class | ~ 25-35 | Sold Out &#8211; Mar 17,💃 Dance Class | ~ 25-35 | Sold Out,0.82
2026-03-17,00:00,,"HRM’s Big Backyard – March 17, 2026 &#8211; Mar 17","HRM’s Big Backyard – March 17, 2026",0.90
2026-03-17,19:00,7:00 PM,CategoryEvents &#8211; Mar 17,CategoryEvents,0.80
2026-03-18,22:00,10:00 PM,Karaoke with Mimi! &#8211; Mar 18,Karaoke with Mimi!,0.83
2026-04-04,14:00,2:00 PM,Someplace Believing: The Musical &#8211; Apr 04,Someplace Believing: The Musical,0.90
2026-05-07,19:30,19:30,All Star Comedy Show &#8211; May 07,All Star Comedy Show,0.85
2026-10-10,20:00,8:00 PM,SIXX PAXX &#8211; Europe&#8217;s #1 Male Revue &#8211; Oct 10,SIXX PAXX - Europe's #1 Male Revue,0.90
2026-05-15,19:00,07:00 PM,Comedy Misfits Lunenburg &#8211; May 15,Comedy Misfits Lunenburg,0.87
2026-03-24,19:30,7:30 PM,&#x1f495; Mini Dates | ~ 25-35 &#8211; Mar 24,💕 Mini Dates | ~ 25-35,0.81
2026-05-08,20:00,08:00 PM,Comedy Misfits Canso &#8211; May 08,Comedy Misfits Canso,0.85
2026-10-14,19:30,19:30,The Black Keys: PEACHES &#8216;N KREAM &#8211; Oct 14,The Black Keys: PEACHES 'N KREAM,0.90
2027-02-07,19:30,19:30,Hilary Duff: the lucky me tour &#8211; Feb 07,Hilary Duff: the lucky me tour,0.89
2026-11-24,00:00,,Dickens&#8217; A Christmas Carol &#8211; Nov 24-Dec 27,Dickens' A Christmas Carol,0.88
2026-06-13,08:00,8:00 am,The OBGMs at EVERYSEEKER &#8211; Jun 13,The OBGMs at EVERYSEEKER,0.87
2026-05-16,20:00,08:00 PM,Comedy Misfits Amherst &#8211; May 16,Comedy Misfits Amherst,0.86
2026-05-13,19:00,07:00 PM,Comedy Misfits Annapolis Royal &#8211; May 13,Comedy Misfits Annapolis Royal,0.90
2026-05-14,19:00,07:00 PM,Comedy Misfits Berwick &#8211; May 14,Comedy Misfits Berwick,0.86
2026-05-11,19:00,07:00 PM,Comedy Misfits Wolfville &#8211; May 11,Comedy Misfits Wolfville,0.87
2026-05-12,19:00,07:00 PM,Comedy Misfits Yarmouth &#8211; May 12,Comedy Misfits Yarmouth,0.87
2026-03-25,22:00,10:00 PM,Karaoke with Mimi! &#8211; Mar 25,Karaoke with Mimi!,0.83
2026-03-11,22:00,10:00 PM,Karaoke with Mimi! &#8211; Mar 11,Karaoke with Mimi!,0.83
2026-03-11,19:30,7:30 PM,&#x1f3b2; Game Night | ~ 20-30 | Sold Out &#8211; Mar 11,🎲 Game Night | ~ 20-30 | Sold Out,0.81
2026-04-12,15:00,3:00 PM,Country Cribbage with Apalooza &#8211; Apr 12,Country Cribbage with Apalooza,0.90
2026-10-09,00:00,,Walking in the Footsteps &#8211; Oct 09,Walking in the Footsteps,0.87
